name,postal_code,country_code
 Pristava pri Mestinju,3253,SI
 Podčetrtek,3254,SI
 Buče,3255,SI
 Bistrica ob Sotli,3256,SI
 Podsreda,3257,SI
 Kozje,3260,SI
 Lesično,3261,SI
 Prevorje,3262,SI
 Gorica pri Slivnici,3263,SI
 Sveti Štefan,3264,SI
 Laško,3270,SI
 Šentrupert,3271,SI
 Rimske Toplice,3272,SI
 Jurklošter,3273,SI
 Petrovče,3301,SI
 Griže,3302,SI
 Gomilsko,3303,SI
 Tabor,3304,SI
 Vransko,3305,SI
 Žalec,3310,SI
 Šempeter v Savinjski dolini,3311,SI
 Prebold,3312,SI
 Polzela,3313,SI
 Braslovče,3314,SI
 Velenje,3320,SI
 Velenje – P.P.,3322,SI
 Šoštanj,3325,SI
 Topolšica,3326,SI
 Šmartno ob Paki,3327,SI
 Mozirje,3330,SI
 Nazarje,3331,SI
 Rečica ob Savinji,3332,SI
 Ljubno ob Savinji,3333,SI
 Luče,3334,SI
 Solčava,3335,SI
 Šmartno ob Dreti,3341,SI
 Gornji Grad,3342,SI
 Kranj,4000,SI
 Kranj – P.P.,4001,SI
 Zgornja Besnica,4201,SI
 Naklo,4202,SI
 Duplje,4203,SI
 Golnik,4204,SI
 Preddvor,4205,SI
 Zgornje Jezersko,4206,SI
 Cerklje na Gorenjskem,4207,SI
 Šenčur,4208,SI
 Žabnica,4209,SI
 Brnik – Aerodrom,4210,SI
 Mavčiče,4211,SI
 Visoko,4212,SI
 Škofja Loka,4220,SI
 Poljane nad Škofjo Loko,4223,SI
 Gorenja vas,4224,SI
 Sovodenj,4225,SI
 Žiri,4226,SI
 Selca,4227,SI
 Železniki,4228,SI
 Sorica,4229,SI
 Radovljica,4240,SI
 Brezje,4243,SI
 Podnart,4244,SI
 Kropa,4245,SI
 Kamna Gorica,4246,SI
 Zgornje Gorje,4247,SI
 Lesce,4248,SI
 Bled,4260,SI
 Bohinjska Bela,4263,SI
 Bohinjska Bistrica,4264,SI
 Bohinjsko jezero,4265,SI
 Srednja vas v Bohinju,4267,SI
 Jesenice,4270,SI
 Blejska Dobrava,4273,SI
 Žirovnica,4274,SI
 Begunje na Gorenjskem,4275,SI
 Hrušica,4276,SI
 Kranjska Gora,4280,SI
 Mojstrana,4281,SI
 Gozd Martuljek,4282,SI
 Rateče – Planica,4283,SI
 Tržič,4290,SI
 Križe,4294,SI
 Nova Gorica,5000,SI
 Nova Gorica – P.P.,5001,SI
 Deskle,5210,SI
 Kojsko,5211,SI
 Dobrovo v Brdih,5212,SI
 Kanal,5213,SI
 Kal nad Kanalom,5214,SI
 Ročinj,5215,SI
 Most na Soči,5216,SI
 Tolmin,5220,SI
 Kobarid,5222,SI
 Breginj,5223,SI
 Srpenica,5224,SI
 Bovec,5230,SI
 Log pod Mangartom,5231,SI
 Soča,5232,SI
 Grahovo ob Bači,5242,SI
 Podbrdo,5243,SI
 Solkan,5250,SI
 Grgar,5251,SI
 Trnovo pri Gorici,5252,SI
 Čepovan,5253,SI
 Šempas,5261,SI
 Črniče,5262,SI
 Dobravlje,5263,SI
 Ajdovščina,5270,SI
 Vipava,5271,SI
 Podnanos,5272,SI
 Col,5273,SI
 Črni Vrh nad Idrijo,5274,SI
 Godovič,5275,SI
 Idrija,5280,SI
 Spodnja Idrija,5281,SI
 Cerkno,5282,SI
 Slap ob Idrijci,5283,SI
 Šempeter pri Gorici,5290,SI
 Miren,5291,SI
 Renče,5292,SI
 Volčja Draga,5293,SI
 Dornberk,5294,SI
 Branik,5295,SI
 Kostanjevica na Krasu,5296,SI
 Prvačina,5297,SI
